AAPL.csv,AMZN.csv,FB.csv,GOOG(Alphabet).csv,IBM.csv,NKE.csv,SBINNS.csv,TATAMOTORS.csv,TSLA.csv,SAM.csv
2.835,37.35,6.27,41.33,19.21,-0.5,33.75,85.5,7.104,2680.0
-3.76,69.1,3.83,-45.59,-4.57,-2.28,-4.7,21.95,-0.814,-1080.0
1.473,58.87,0.98,38.09,7.18,-3.87,17.35,51.7,-3.654,900.0
-0.855,-5.28,-4.22,-42.43,-1.22,1.87,12.85,3.5,-1.84,2540.0
2.18,41.49,9.74,76.59,8.84,0.43,8.6,39.6,5.73,2240.0
0.422,9.29,2.27,5.96,-1.77,1.91,21.7,30.9,-4.698,1020.0
1.728,66.41,1.89,8.04,0.53,-5.02,-0.7,-5.65,-0.996,300.0
0.208,-46.18,2.61,10.29,-4.37,-2.36,5.0,-2.4,-2.914,820.0
-0.735,-48.43,-12.99,-24.85,8.72,-0.43,1.35,-75.1,-1.728,2320.0
1.362,-2.54,-3.33,14.38,4.04,0.72,-9.45,15.0,5.088,1240.0
1.387,65.56,14.29,17.98,7.52,0.91,7.85,51.55,7.414,3480.0
2.49,15.83,3.29,23.53,4.82,4.18,7.2,-70.75,-0.612,-1100.0
1.443,33.49,5.58,0.71,-6.34,-2.13,23.4,9.95,4.824,2760.0
-0.015,36.99,8.32,76.74,-13.53,-0.33,-5.05,-9.35,5.434,3220.0
1.915,66.82,-0.28,62.92,-7.42,-2.44,-1.45,17.25,5.226,80.0
-2.287,-30.59,-0.77,-60.22,1.03,5.94,-14.3,-44.4,3.522,2680.0
0.962,14.99,17.53,18.32,-8.91,0.68,38.4,13.1,-9.354,700.0
3.725,-15.51,2.15,6.95,-1.97,-6.19,-36.25,-70.0,6.58,-1680.0
-2.67,-22.85,-1.53,17.98,2.1,-1.15,-23.8,22.15,-3.004,4820.0
3.695,141.28,8.67,56.66,8.71,2.83,51.95,26.9,-2.198,3800.0
0.495,71.35,-5.18,4.2,-0.13,5.0,10.95,-26.8,-4.68,-6700.0
-0.18,-2.58,0.43,30.6,-0.98,2.13,-11.6,23.95,1.182,160.0
-0.683,278.89,9.21,121.6,9.2,5.37,2.65,-31.45,8.462,-1060.0
2.737,67.45,-9.9,-57.88,-7.36,-0.64,-48.9,-30.0,-1.588,-3560.0
-2.69,-66.26,-19.22,-76.08,-2.1,-0.8,-16.4,-42.9,-15.776,2160.0
-0.345,148.51,14.19,-5.49,-8.38,2.42,-5.4,5.4,7.528,4000.0
5.115,66.4,19.78,71.33,-3.34,3.82,23.15,-57.9,-1.756,-2300.0
-0.72,62.77,1.25,16.3,-2.73,7.56,-9.9,-15.2,11.418,-3850.0
1.617,94.74,-20.79,118.26,6.65,-1.67,34.55,-11.9,-12.386,-250.0
7.125,228.71,1.8,-9.81,1.72,5.7,15.1,17.5,0.734,2400.0
-0.667,-23.5,-9.04,-10.8,5.23,5.33,-47.0,-47.7,-6.434,-1750.0
-2.272,-423.98,-11.24,-123.12,-36.28,-10.06,15.9,-45.9,6.31,-4050.0
-10.118,66.64,-10.91,18.63,8.77,-0.11,1.65,-10.05,2.444,-600.0
-6.68,-267.49,-11.91,-87.53,-12.0,-2.96,9.2,-0.55,-5.44,-4050.0
2.888,253.53,37.7,99.8,22.41,9.09,-3.85,7.7,0.184,7450.0
1.547,0.95,-4.39,7.52,3.16,3.9,-27.85,-4.55,2.892,-1550.0
3.917,125.62,4.09,48.41,1.79,-2.72,50.2,-4.4,-5.416,-450.0
2.258,126.41,25.57,4.38,-1.24,2.79,-11.85,37.95,-8.786,650.0
-8.702,-158.02,-17.31,-84.42,-13.56,-10.59,42.55,-41.7,-10.738,-3350.0
5.58,133.62,18.0,15.41,10.8,6.71,8.9,-7.95,7.59,4050.0
2.467,-56.2,-0.98,118.68,8.64,1.1,-30.6,-28.1,2.28,-2000.0
-1.29,-95.43,-8.5,-25.93,-13.37,-0.76,-56.95,-18.8,-3.408,-900.0
4.385,-34.09,-5.92,41.97,10.57,9.92,-3.05,0.75,3.358,4200.0
5.922,30.66,12.5,41.11,-11.86,-4.58,39.65,59.7,14.684,1500.0
4.428,12.79,8.79,39.96,-0.05,3.31,29.45,-13.7,2.724,-300.0
6.595,43.44,3.12,36.02,-0.41,7.22,-10.15,24.2,17.786,4900.0
3.318,133.72,-4.84,92.68,8.73,-5.06,-16.25,-8.55,45.214,600.0
-7.735,-126.85,-10.97,-122.67,-14.1,-9.62,-14.95,-46.45,-1.14,-1300.0
-6.998,43.23,-27.23,-188.8,-19.82,-6.86,-114.15,-61.95,-37.452,-6550.0
11.825,541.03,43.09,226.66,19.2,7.69,-3.5,22.75,55.576,2550.0
7.923,105.57,23.49,100.42,1.71,12.91,-29.2,0.0,16.0,700.0
11.762,310.82,2.48,-4.78,-3.87,-0.35,14.45,9.35,44.362,2000.0
14.98,406.69,25.17,71.86,2.67,-0.89,12.0,5.65,69.552,4500.0
20.84,270.45,40.55,147.54,-0.19,13.86,20.0,40.2,208.48,-3800.0
-16.95,-340.85,-32.81,-167.03,-1.18,13.54,-27.7,-10.1,-73.13,4100.0
-8.78,-171.85,-2.24,136.74,-10.7,-7.65,2.25,-3.25,-52.72,-1600.0
9.94,106.3,12.37,132.58,10.87,12.33,52.05,46.7,173.6,10300.0
11.68,68.43,-6.0,-22.49,1.98,5.03,29.95,1.5,108.08,13900.0
-1.56,-63.8,-16.45,78.2,-6.74,-9.26,7.2,77.75,74.07,1000.0
1.64,44.22,12.35,241.81,2.34,7.09,107.15,59.15,-9.47,-100.0
