Strike,Call Price,Put Price
85.9749985,88.14679110698539,0.04906233065643406
103.1699982,71.69081331420912,0.363538182614362
120.36499789999999,56.056285070504515,1.4994635836439425
137.55999759999997,42.00972620115752,4.223358359031156
154.75499729999999,30.196095689784073,9.180181492391917
171.94999699999997,20.88978186113576,16.644321308477814
189.14499669999998,13.976954522786457,26.501947614862686
206.33999639999996,9.092005600077336,38.387452336887776
223.53499609999997,5.778929678839027,51.844830060383686
240.72999579999998,3.605167599660607,66.44152162593946
257.92499549999997,2.2160674713797484,81.8228751423928
