Date,NIFTY,CIPLA,ICICI,ITC
01-01-2019,10862.55,518.6852,361.9817,257.7125
02-01-2019,10792.5,510.2561,362.8275,255.7981
03-01-2019,10672.25,508.1241,361.4841,254.2028
04-01-2019,10727.35,508.5207,363.4246,256.1172
07-01-2019,10771.8,509.7603,365.9124,256.7553
08-01-2019,10802.15,509.3636,378.3019,259.1255
09-01-2019,10855.15,505.8432,380.3917,264.7319
10-01-2019,10821.6,508.9669,377.6551,264.0026
11-01-2019,10794.95,505.9424,376.7097,269.2444
14-01-2019,10737.6,507.6778,371.535,268.2871
15-01-2019,10886.8,510.6528,370.9379,270.3383
16-01-2019,10890.3,507.2315,373.4755,268.0592
17-01-2019,10905.2,505.3474,372.7789,267.9681
18-01-2019,10906.95,505.1491,370.1916,265.6891
21-01-2019,10961.85,505.0003,369.893,264.2761
22-01-2019,10922.75,502.8683,367.2559,264.1393
23-01-2019,10831.5,505.0499,365.6139,252.7897
24-01-2019,10849.8,496.5217,363.0265,254.2483
25-01-2019,10780.55,503.4137,355.4635,254.5219
28-01-2019,10661.55,488.043,341.8798,250.4652
29-01-2019,10652.2,500.8354,345.1638,253.8382
30-01-2019,10651.8,501.5791,364.1212,251.1489
31-01-2019,10830.95,512.9832,362.6783,254.0204
01-02-2019,10893.65,516.9993,352.9259,256.026
04-02-2019,10912.25,505.3474,352.8264,252.6075
05-02-2019,10934.35,503.7608,350.9356,249.9182
06-02-2019,11062.45,530.4859,357.5533,253.1544
07-02-2019,11069.4,528.453,356.9064,255.5246
08-02-2019,10943.6,529.7917,353.3737,251.1489
11-02-2019,10888.8,538.7661,348.3482,252.6075
12-02-2019,10831.4,538.7661,342.6262,250.9665
14-02-2019,10746.05,538.3695,342.2779,253.3367
15-02-2019,10724.4,536.0391,340.4867,255.3423
18-02-2019,10640.95,536.6342,337.1032,250.4196
19-02-2019,10604.35,535.1467,341.5813,251.5135
20-02-2019,10735.45,536.5845,343.5218,251.4679
21-02-2019,10789.85,540.9478,349.5922,250.7386
22-02-2019,10791.65,536.7828,350.3385,250.0549
25-02-2019,10880.1,543.7244,353.8713,252.2428
26-02-2019,10835.3,545.8069,346.5073,251.1489
27-02-2019,10806.65,547.2944,343.8701,250.7842
28-02-2019,10792.5,549.9223,348.4478,251.6502
01-03-2019,10863.5,546.9473,352.5278,253.6102
05-03-2019,10987.45,544.0715,361.4841,257.5757
06-03-2019,11053,542.9807,370.1418,260.4929
07-03-2019,11058.2,536.8324,368.9974,264.4584
08-03-2019,11035.4,535.4442,368.7984,266.1905
11-03-2019,11168.05,535.5928,374.0228,267.0565
12-03-2019,11301.2,534.2542,386.3128,268.4695
13-03-2019,11341.7,528.3538,389.9948,268.8341
14-03-2019,11343.25,528.3042,386.0142,269.3811
15-03-2019,11426.85,528.1555,393.3783,265.0965
18-03-2019,11462.2,530.0396,396.1149,267.6034
19-03-2019,11532.4,529.1967,396.4632,272.982
20-03-2019,11521.05,528.8,390.9899,272.4806
22-03-2019,11456.9,522.4039,389.8953,271.8424
25-03-2019,11354.25,522.4534,381.6356,268.9709
26-03-2019,11483.25,524.883,392.1841,267.4667
27-03-2019,11445.05,521.1147,391.2885,267.1932
28-03-2019,11570,521.21,398.6,273.48
